,taxID,genus,epithet,entry_UIDs,count,outgroup
1914074,1914074,Neoboletus,squamulistipes,['1095786109'],1,False
1914073,1914073,Neoboletus,sanguineus,"['1095786103', '1095786101', '1095786099']",3,False
1914072,1914072,Neoboletus,sanguineoides,"['1095786097', '1095786095', '1095786093']",3,False
1914071,1914071,Neoboletus,rubriporus,"['1095786091', '1095786089', '1095786087', '1095786085']",4,False
1914070,1914070,Neoboletus,obscureumbrinus,"['1095786083', '1095786081', '1095786079', '1095786077']",4,False
1914069,1914069,Neoboletus,hainanensis,"['1095786115', '1095786113', '1095786075']",3,False
1914066,1914066,Leccinellum,cremeum,['1095786057'],1,False
1914065,1914065,Hortiboletus,subpaludosus,['1095786053'],1,False
1914064,1914064,Hortiboletus,amygdalinus,['1095786051'],1,False
1914062,1914062,Hemileccinum,rugosum,['1095786047'],1,False
1914060,1914060,Harrya,subalpina,['1095786229'],1,False
1914058,1914058,Harrya,moniliformis,['1095786235'],1,False
1914057,1914057,Harrya,atrogrisea,['1095786233'],1,False
1914056,1914056,Harrya,alpina,['1095786139'],1,False
1914054,1914054,Cyanoboletus,brunneoruber,"['1095786039', '1095786037']",2,False
1914051,1914051,Butyriboletus,subsplendidus,['1095786001'],1,False
1914049,1914049,Butyriboletus,pseudospeciosus,"['1095786005', '1095786003']",2,False
1914047,1914047,Boletus,botryoides,['391886178'],1,False
1914045,1914045,Boletellus,indistinctus,"['1095785993', '1095785991']",2,False
1914042,1914042,Aureoboletus,zangii,"['1095785985', '1095785983']",2,False
1914041,1914041,Aureoboletus,yunnanensis,['1095785981'],1,False
1914039,1914039,Aureoboletus,nephrosporus,"['1095785977', '1095785975']",2,False
1914038,1914038,Aureoboletus,tomentosus,"['1095785973', '1095785971']",2,False
1914037,1914037,Aureoboletus,duplicatoporus,"['1095785969', '1095785967', '613813991']",3,False
1914036,1914036,Aureoboletus,catenarius,['1095785965'],1,False
1913000,1913000,Porphyrellus,nigropurpureus,"['1095786133', '1095786131']",2,False
1912939,1912939,Suillus,fuscotomentosus,"['1181244499', '1181244497', '1181244495']",3,False
1816308,1816308,Phylloporus,catenulatus,"['1007653559', '1007653557']",2,False
1816307,1816307,Phylloporus,attenuatus,['1007653561'],1,False
1775971,1775971,Retiboletus,kauffmanii,['971493037'],1,False
1775115,1775115,Retiboletus,sinensis,['1095786141'],1,False
1775113,1775113,Retiboletus,fuscus,"['1095786145', '1095786143']",2,False
1755204,1755204,Aureoboletus,clavatus,"['953834984', '953834982']",2,False
1748411,1748411,Costatisporus,cyanescens,['820687738'],1,False
1748405,1748405,Singerocomus,rubriflavus,['814935202'],1,False
1748404,1748404,Guyanaporus,albipodus,"['814935182', '312190912']",2,False
1748403,1748403,Binderoboletus,segoi,['814935178'],1,False
1728933,1728933,Rubroboletus,legaliae,['1316069297'],1,False
1708621,1708621,Cyanoboletus,pulverulentus,['526840214'],1,False
1708620,1708620,Cupreoboletus,poikilochromus,"['924658923', '924658921']",2,False
1704548,1704548,Nigroboletus,roseonigrescens,"['922059798', '922059796', '922059794']",3,False
1688478,1688478,Strobilomyces,pteroreticulosporus,"['1375422445', '901708689']",2,False
1665470,1665470,Strobilomyces,sp. NY0075256,['831436807'],1,False
1665469,1665469,Strobilomyces,sp. NY0075253,['831436805'],1,False
1661727,1661727,Aureoboletus,projectellus,['168920043'],1,False
1661726,1661726,Aureoboletus,mirabilis,['613814117'],1,False
1653766,1653766,Phylloporus,gajari,['1007653727'],1,False
1611992,1611992,Rubroboletus,sinicus,"['686484321', '613813877']",2,False
1611991,1611991,Rubroboletus,latisporus,"['756652048', '756652046']",2,False
1611890,1611890,Afroboletus,luteolus,"['1375422433', '1375422431', '1375422429', '526840270']",4,False
1611281,1611281,Hourangia,nigropunctata,"['756402480', '756402472', '756402470', '756402468']",4,False
