,taxID,genus,epithet,entry_UIDs,count,outgroup
0,2592612,Hemileccinum,subglabripes,"['1783626405', '1783626407', '1783626409']",3,False
1,2528269,Neoboletus,tomentulosus,"['1095783605', '1095783607']",2,False
3,2338527,Spongispora,temasekensis,"['1477502629', '1477503447']",2,False
4,2316095,Rhizopogon,subaustralis,['1593541958'],1,False
5,2108296,Exsudoporus,floridanus,['1783626381'],1,False
7,2057779,Rubroboletus,esculentus,"['1316069883', '1316069886']",2,False
8,2050028,Aureoboletus,quercus-spinosae,"['1273279054', '1273279056', '1273279058', '1273279060']",4,False
10,2029454,Afroboletus,multijugus,"['1375422455', '1375422457', '1375422459', '1275509062', '1275509064', '1275509066']",6,False
11,1987365,Xerocomus,sp. ABM-2017a,"['1407918558', '1407919262']",2,False
12,1979803,Suillus,phylopictus,"['1181244718', '1181244720', '1181244722']",3,False
14,1968697,Suillus,sp. RZ-2017a,"['1181244541', '1181244543']",2,False
15,1968696,Suillus,salmonicolor,"['1593541966', '1159182380']",2,False
17,1935359,Rhizopogon,sp.,"['1593541954', '1593541956', '1593541960', '1593541964']",4,False
18,1930190,Suillus,alpinus,"['1181244624', '1181244626']",2,False
19,1930189,Suillus,aurihymenius,['1181244622'],1,False
20,1928356,Suillus,sp.,"['1181244535', '1181244539', '1181244561', '1181244567', '1181244634', '1181244636', '1181244638', '1181244640', '1181244652', '1181244654', '1181244656', '1181244692', '1181244704', '1181244730', '1181244732', '1159182378']",16,False
21,1918494,Singerocomus,inundabilis,"['814935189', '814935194', '814935199']",3,False
22,1916381,Strobilomyces,sp.,"['1783626539', '1430401585', '1430401587', '1375422467', '1370767415', '1370767417', '1275509128', '1275509130', '1275509132', '1275509134', '1275509136', '1275509138', '1275509140', '1275509142', '1275509144', '1275509146', '1275509148', '1275509150', '1275509152', '1275509154', '1275509156', '1275509158', '1275509160', '1275509162', '1275509164', '1275509166', '1275509168', '1275509170', '1275509172', '1275509174', '1275509176', '1275509178', '1275509180', '1275509182', '1275509184', '1275509186', '1275509188', '1275509190', '1275509192', '1275509194', '1275509196', '1275509198', '1275509200', '1275509202', '1275509204', '1275509206', '1275509208', '1275509210', '1275509212', '1275509218', '1275509220']",51,False
23,1914392,Sutorius,sp. HKAS 58724,['1095467807'],1,False
24,1914391,Sutorius,sp. HKAS 59443,['1095467805'],1,False
28,1914218,Tengioboletus,sp. HKAS 77869,['1095783681'],1,False
29,1914216,Tengioboletus,reticulatus,"['1095783677', '1095783679']",2,False
30,1914215,Tengioboletus,glutinosus,['1095783675'],1,False
31,1914213,Chiua,virens,"['1370767369', '1095783501', '613808601']",3,False
32,1914212,Tylocinum,griseolum,"['1095783491', '613808475']",2,False
33,1914186,Boletellus,sp. HKAS 74907,['1095783461'],1,False
34,1914185,Butyriboletus,sp. MHHNU 7456,['1095783471'],1,False
35,1914181,Harrya,sp. HKAS 90194,['1095783721'],1,False
36,1914180,Harrya,sp. HKAS 50526,['1095783711'],1,False
37,1914179,Harrya,sp. HKAS 51181,['1095783567'],1,False
38,1914178,Hemileccinum,sp. HKAS 59445,['1095783543'],1,False
39,1914177,Leccinellum,sp. HKAS 53410,['1095783557'],1,False
40,1914172,Pulveroboletus,sp. HKAS 52615,['1095783623'],1,False
41,1914167,Tylopilus,sp. HKAS 90202,['1095783629'],1,False
42,1914166,Tylopilus,sp. HKAS 50211,['1095783493'],1,False
43,1914164,Neoboletus,ferrugineus,"['1095783575', '1095783577']",2,False
44,1914158,Chiua,olivaceoreticulata,['1095783571'],1,False
47,1914106,Xerocomus,subparvus,"['1095783697', '1095783707']",2,False
52,1914100,Xerocomellus,communis,"['1095783703', '1095783705']",2,False
53,1914099,Xerocomellus,corneri,"['1095783699', '1095783701']",2,False
54,1914098,Xanthoconium,sinense,"['1213565107', '1213565156', '1213565162', '1095783691', '1095783693', '1095783695']",6,False
55,1914097,Xanthoconium,porophyllum,['1095783689'],1,False
56,1914096,Tylopilus,violaceobrunneus,['1095783723'],1,False
57,1914092,Tylopilus,brunneirubens,"['1095783729', '613808391']",2,False
58,1914089,Tylopilus,alpinus,['613808389'],1,False
59,1914088,Tylopilus,aff. virens,['1095783499'],1,False
60,1914086,Suillellus,subamygdalinus,"['1095783671', '1095783673']",2,False
61,1914085,Strobilomyces,atrosquamosus,"['1275508980', '1275508982', '1275508984', '1275508986', '1275508988', '1095783655', '1095783667']",7,False
62,1914084,Royoungia,reticulata,"['1095783569', '1095783573']",2,False
64,1914082,Royoungia,coccineinana,['1095783409'],1,False
65,1914080,Pulveroboletus,macrosporus,"['1211069824', '1211069826', '1095783619', '1095783621']",4,False
66,1914079,Pulveroboletus,aff. ravenelii,['1095783617'],1,False
67,1914078,Porphyrellus,orientifumosipes,['1095783637'],1,False
68,1914077,Porphyrellus,castaneus,"['1370767397', '1095783487', '1095783719']",3,False
70,1914075,Neoboletus,venenatus,['1095783611'],1,False
71,1914074,Neoboletus,squamulistipes,['1095783609'],1,False
72,1914073,Neoboletus,sanguineus,"['1095783599', '1095783601', '1095783603']",3,False
73,1914072,Neoboletus,sanguineoides,"['1095783595', '1095783597']",2,False
74,1914071,Neoboletus,rubriporus,"['1095783589', '1095783591', '1095783593']",3,False
75,1914070,Neoboletus,obscureumbrinus,"['1694830684', '1579200711', '1579200713', '1579200715', '1095783581', '1095783583', '1095783585', '1095783587']",8,False
76,1914069,Neoboletus,hainanensis,"['1095783579', '1095783613', '1095783615']",3,False
77,1914066,Leccinellum,cremeum,['1095783555'],1,False
78,1914065,Hortiboletus,subpaludosus,"['1095783549', '1095783551']",2,False
